IP Origem,Porta Origem,IP Destino,Porta Destino
10.42.0.214,36680,142.250.219.14,443
10.42.0.214,54754,142.250.219.14,443
10.42.0.214,40940,142.251.134.142,443
10.42.0.214,40275,142.250.219.14,443
10.42.0.214,34816,142.250.78.174,443
10.42.0.214,36510,142.250.78.174,443
10.42.0.214,38170,142.250.78.174,443
10.42.0.214,45226,142.250.78.174,443
10.42.0.214,35264,142.250.78.174,443
10.42.0.214,53794,142.250.78.174,443
